B60184,RI,0
B80516,RI,0
C21227,"9,5",95
B92078,"7,5",75
B72359,"8,5",85
C32439,RJ,0
B62767,"8,5",85
C19062,9,90
B73287,9,90
B73697,8,80
C04178,8,80
B84841,"8,5",85
C15055,"9,5",95
C25147,9,90
B75702,"8,5",85
C05998,"8,5",85
C16004,"8,5",85
A23983,"7,5",75
C39313,RJ,0
C07979,"8,5",85
B88561,"9,5",95
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
